id,miejscowosc,ulica,numer_domu,kod_pocztowy
10214,Kraków,ul. dr. Józefa Babińskiego,29,30-393
10215,Kraków,ul. Tadeusza Ptaszyckiego,9,31-979
10216,Kraków,al. Aleja Adolfa Dygasińskiego,25,30-820
10217,Kraków,os. Osiedle Sportowe,28,31-966
10218,Kraków,os. Osiedle Urocze,15,31-954
10219,Kraków,pl. Plac Na Groblach,23,31-101
10220,Mikorzyn,ul. Papieska,5,63-600
10221,Myjomice,ul. Jana Pawła II,5,63-600
10222,Warszawa,ul. Kazimierza Wóycickiego,1/3,01-938
10223,Warszawa,ul. Apartamentowa,12,02-495
10224,Warszawa,ul. Marii Dąbrowskiej,15,01-903
10225,Radom,ul. Romualda Traugutta,17A,26-600
10226,Warszawa,ul. Jerzego Michałowicza,78,02-495
10227,Warszawa,ul. Józefa Mehoffera,90,03-118
10228,Radom,ul. Partyzantów,5,26-600
10229,Radom,ul. Partyzantów,5,26-600
10230,Żywiec,ul. Komisji Edukacji Narodowej,3,34-300
10231,Żywiec,ul. Komisji Edukacji Narodowej,3,34-300
10232,Warszawa,ul. Janiszowska,11,02-264
10233,Rawicz,ul. Władysława Broniewskiego,5,63-900
10234,Warszawa,ul. Gottfrieda Leibniza,1,01-481
10235,Warszawa,ul. Smyczkowa,11,02-678
10236,Białystok,ul. Piękna,2,15-282
10237,Grudziądz,ul. gen. Józefa Kustronia,6,86-300
10238,Grudziądz,ul. Konarskiego,39,86-300
10239,Tychy,ul. Braterska,7,43-100
10240,Tychy,ul. Stefana Czarnieckiego,5,43-100
10241,Tychy,ul. Cyganerii,33,43-100
10242,Tychy,ul. Lwa Tołstoja,5,43-100
10243,Tychy,ul. Bukowa,29,43-100
10244,Kobylany,,187,38-462
10245,Tychy,ul. Grzegorza Fitelberga,31,43-100
10246,Nowy Sącz,ul. Stefana Banacha,33,33-300
10247,Tychy,al. Niepodległości,154,43-100
10248,Tychy,ul. Katowicka,102a,43-100
10249,Tychy,ul. Aleksandra Zelwerowicza,21,43-100
10250,Poznań,ul. Mgielna,14,60-369
10251,Augustów,al. Aleja Kardynała Wyszyńskiego,3A,16-300
10252,Kędzierzyn-Koźle,ul. Mostowa,7,47-223
10253,Tychy,ul. Młodzieżowa,5,43-100
10254,Tychy,ul. Majora Hubala,7,43-100
10255,Wrocław,ul. Strachocińska,155-157,51-518
10256,Lipiny,,40,26-425
10257,Łańcut,ul. Farna,10,37-100
10258,Wrocław,ul. Suwalska,5,54-104
10259,Kolno,ul. 11 Listopada,1,18-500
10260,Kraków,ul. Czarnogórska,14,30-638
10261,Rybnik,ul. św. Józefa,30,44-217
10262,Wrocław,ul. Częstochowska,42,54-031
10263,Cieklin,,337,38-222
10264,Dębowiec,,500,38-220
10265,Dobrynia,,53,38-222
10266,Zarzecze,,143,38-220
10267,Rybnik,ul. Tadeusza Kościuszki,23,44-200
10268,Poznań,ul. Marcelińska,14,60-801
10269,Rudna Wielka,,60,36-054
10270,Wrocław,ul. Stanisławowska,38-44,54-611
10271,Kraków,ul. Urzędnicza,65,30-074
10272,Augustów,ul. Młyńska,52,16-300
10273,Pustków-Osiedle,,34a,39-206
10274,Wąbrzeźno,ul. Tysiąclecia,1,87-200
10275,Wrocław,ul. Wietrzna,50,53-024
10276,Wrocław,ul. Wieczysta,105,50-550
10277,Jabłonka,ul. Podhalańska,3,34-480
10278,Kruszwica,ul. Kujawska,20,88-150
10279,Cieszyn,Górny Rynek,6,43-400
10280,Ostrzeszów,ul. Krańcowa,7,63-500
10281,Tychy,pl. Plac Wolności,4,43-100
10282,Cisna,,58,38-607
10283,Chełm,ul. Hrubieszowska,102,22-100
10284,Wrocław,ul. Fabryczna,10,53-609
10285,Wrocław,pl. Muzealny,13a,50-035
10286,Lębork,ul. Marcinkowskiego,1,84-300
10287,Borkowo,ul. Akacjowa,2,80-180
10288,Krościenko nad Dunajcem,ul. Zdrojowa,11,34-450
10289,Wrocław,ul. Gubińska,1,54-433
10290,Bydgoszcz,ul. Xawerego Dunikowskiego,4,85-863
10291,Bydgoszcz,ul. Pomorska,79,85-046
10292,Żyrardów,ul. Gabriela Narutowicza,39b,96-300
10293,Lipsko,ul. Zwoleńska,14,27-300
10294,Grudziądz,ul. marsz. Józefa Piłsudskiego,31,86-300
10295,Nowy Sącz,ul. 29 Listopada,22,33-300
10296,Warszawa,ul. Kwatery Głównej,13,04-294
10297,Ostrzeszów,ul. Krańcowa,7,63-500
10298,Kutno,ul. Kościuszki,52,99-300
10299,Kruszwica,ul. Kujawska,20,88-150
10300,Inowrocław,ul. Najświętszej Marii Panny,14,88-100
10301,Inowrocław,ul. Prezydenta Gabriela Narutowicza,53,88-100
10302,Inowrocław,ul. Dworcowa,25,88-100
10303,Czempisz,,38,62-874
10304,Piotrków Kujawski,ul. Włocławska,37,88-230
10305,Reda,ul. Cypriana Kamila Norwida,59,84-240
10306,Grudziądz,ul. Dworcowa,35,86-300
10307,Grudziądz,ul. Janusza Korczaka,21,86-300
10308,Poznań,os. Bolesława Chrobrego,10c,60-681
10309,Świebodzin,ul. Żaków,1,66-200
10310,Grudziądz,al. Aleja Sportowców,2,86-300
10311,Kępno,ul. Sienkiewicza,25,63-600
10312,Wetlina,,16,38-608
10313,Markowice,,28,88-320
10314,Strzelno,ul. Kardynała Wyszyńskiego,2,88-320
10315,Łęka Opatowska,ul. Szkolna,4,63-645
10316,Strzelno,ul. Michelsona,1,88-320
10317,Opatów,ul. Poznańska,7,63-645
10318,Strzelno,ul. Tadeusza Kościuszki,3,88-320
10319,Strzelno,ul. Parkowa,10,88-320
10320,Siemianice,ul. Szkolna,2,63-645
10321,Łasin,ul. Odrodzenia Polski,3,86-320
10322,Wola Dębowiecka,,33,38-220
10323,Kraków,ul. Urzędnicza,65,30-074
10324,Poznań,ul. Jana Henryka Dąbrowskiego,44,60-843
10325,Grudziądz,ul. ks. dr. Władysława Łęgi,17,86-300
10326,Czarnków,ul. Przemysłowa,2,64-700
10327,Reda,ul. Cypriana Kamila Norwida,59,84-240
10328,Nowy Dwór Wejherowski,ul. Zbychowska,1,84-206
10329,Olkusz,ul. Króla Kazimierza Wielkiego,12,32-300
10330,Żarów,ul. Armii Krajowej,60,58-130
10331,Borowno-Kolonia,ul. Klonowa,6/8,42-233
10332,Mykanów,ul. Słoneczna,114,42-233
10333,Lubojna,ul. Strażacka,21,42-233
10334,Wrocław,ul. Poznańska,24,53-630
10335,Lębork,ul. Marcinkowskiego,1,84-300
10336,Lębork,ul. Marcinkowskiego,1,84-300
10337,Bojmie,ul. Południowa,6,08-130
10338,Kraków,ul. Porzeczkowa,3,31-234
10339,Lębork,ul. Warszawska,17,84-300
10340,Oświęcim,ul. Stanisława Konarskiego,24,32-600
10341,Kępno,ul. Sienkiewicza,25,63-600
10342,Barcice,ul. Św. Józefa,2,33-342
10343,Gaboń,,67,33-388
10344,Gołkowice Górne,,65,33-388
10345,Popowice,,115,33-340
10346,Stary Sącz,ul. Podegrodzka,2A,33-340
10347,Wrocław,ul. Piotrkowska,9,54-060
10348,Wrocław,ul. Kłodnicka,36,54-207
10349,Rabka-Zdrój,ul. Kościuszki,9,34-700
10350,Bolszewo,ul. Główna,5c,84-239
10351,Nowy Sącz,ul. Szwedzka,17,33-300
10352,Kraków,ul. Porzeczkowa,3,31-234
10353,Świebodzin,ul. Żaków,3,66-200
10354,Nowy Wiśnicz,ul. Kościelna,2,32-720
10355,Łódź,ul. Potulna,4,93-319
10356,Bydgoszcz,ul. Wiosny Ludów,10,85-858
10357,Gromnik,ul. Witosa,4,33-180
10358,Rabka-Zdrój,ul. Kościuszki,9,34-700
10359,Kolno,ul. Teofila Kubraka,6,18-500
10360,Jawor,ul. Ignacego Paderewskiego,6,59-400
10361,Jawor,ul. Ignacego Paderewskiego,6,59-400
10362,Jawor,ul. Ignacego Paderewskiego,6,59-400
10363,Jawor,ul. Ignacego Paderewskiego,6,59-400
10364,Lipsko,ul. Zwoleńska,12,27-300
10365,Borzęcin Duży,ul. Warszawska,697,05-083
10366,Świdnica,ul. Wałbrzyska,54,58-100
10367,Rudniki,ul. Wieluńska,4,46-325
10368,Jarosław,ul. Rynek,15,37-500
10369,Radzików Wielki,ul. Szkolna,5,08-140
10370,Kłodzko,ul. Ignacego Daszyńskiego,12,57-300
10371,Nysa,ul. Sudecka,7,48-303
10372,Nysa,ul. Emilii Gierczak,8,48-300
10373,Nysa,ul. 11 Listopada,6,48-303
10374,Nysa,ul. Bohaterów Warszawy,7,48-300
10375,Biała Nyska,ul. Nyska,11,48-351
10376,Nysa,ul. Podolska,3 B,48-303
10377,Goświnowice,ul. Kolejowa,5,48-381
10378,Bydgoszcz,ul. Bohaterów Westerplatte,4,85-827
10379,Brzeziny,ul. Wrocławska,17,62-874
10380,Nowy Sącz,ul. Szwedzka,17,33-300
10381,Tychy,ul. Jedności,51,43-100
10382,Tychy,ul. Leśna,66,43-100
10383,Tychy,ul. Cmentarna,54,43-100
10384,Wierzbice,ul. Lipowa,44,55-040
10385,Jaszkotle,,21,55-080
10386,Siechnice,ul. Osiedlowa,23a,55-011
10387,Krzyżowice,ul. Główna,2,55-040
10388,Sabnie,ul. Słoneczna,1,08-331
10389,Nowy Targ,ul. Wojska Polskiego,9,34-400
10390,Lębork,ul. Mikołaja Reja,18,84-300
10391,Ostrowiec Świętokrzyski,ul. Iłżecka,33,27-400
10392,Ostrowiec Świętokrzyski,ul. Iłżecka,33,27-400
10393,Kościerzyna,ul. Szkolna,2,83-400
10394,Cieklin,,337,38-222
10395,Gowino,ul. Wejherowska,60,84-215
10396,Koperniki,,16A,48-303
10397,Gromnik,ul. Witosa,4,33-180
10398,Trzebnica,ul. Stefana Żeromskiego,25,55-100
10399,Huta-Dąbrowa,ul. Hutnicza,30,21-470
10400,Krzywda,ul. Osiedlowa,5,21-470
10401,Lębork,ul. Mikołaja Reja,18,84-300
10402,Wrocław,ul. Lubelska,106,54-101
10403,Lębork,ul. Mikołaja Reja,18,84-300
10404,Niwnica,,127,48-303
10405,Nowy Sącz,ul. Ignacego Paderewskiego,19,33-300
10406,Nowy Sącz,ul. Ignacego Paderewskiego,19,33-300
10407,Łódź,ul. Zarzewska,26,93-180
10408,Strzeleczki,ul. Sienkiewicza,37,47-364
10409,Wielgie,ul. Szkolna,5,87-603
10410,Wielgie,ul. Szkolna,5,87-603
10411,Kraków,ul. Aleksandra Fredry,65,30-605
10412,Łódź,ul. Stanisława Jachowicza,1,93-177
10413,Kuraszków,ul. Turystyczna,2,55-120
10414,Augustów,al. Aleja Kardynała Wyszyńskiego,3B,16-300
10415,Ciechanów,ul. Powstańców Warszawskich,7a,06-400
10416,Lubartów,ul. 1 Maja,82,21-100
10417,Adamów,ul. Cmentarna,6,21-412
10418,Wyszków,ul. Jana Matejki,5,07-200
10419,Gdańsk,ul. Karola Szymanowskiego,2,80-280
10420,Bydgoszcz,ul. Koronowska,5,85-427
10421,Oświęcim,ul. Stanisława Konarskiego,24,32-600
10422,Jordanów,ul. Generała Maczka,131,34-240
10423,Miejsce,ul. Floriana,62,34-116
10424,Toruń,ul. Jurija Gagarina,36,87-100
10425,Osobnica,,99,38-241
10426,Blizne Jasińskiego,ul. Tadeusza Kościuszki,1B,05-082
10427,Żytniów,,29,46-325
10428,Łódź,ul. Uroczysko,17,93-472
10429,Pułtusk,ul. Marii Konopnickiej,9,06-100
10430,Dzierżoniów,ul. Parkowa,2,58-200
10431,Modlna,,29,95-035
10432,Kłodzko,ul. Przyjaciół Dzieci,3,57-300
10433,Lubosz,ul. Powstańców Wielkopolskich,1,64-423
10434,Wrocław,ul. Grochowa,36-38,53-424
10435,Bachowice,ul. ks. Gołby,1,34-116
10436,Bachowice,ul. ks. Gołby,1,34-116
10437,Oświęcim,ul. gen. Józefa Bema,8,32-602
10438,Łódź,ul. Marcina Kasprzaka,57,91-078
10439,Świdnica,ul. Mieczysława Kozara Słobódzkiego,21,58-105
10440,Katowice,ul. Bażantów,2,40-668
10441,Katowice,ul. Oswobodzenia,1,40-403
10442,Kłomnice,ul. Szkolna,1,42-270
10443,Rzerzęczyce,ul. Skrzydlowska,91,42-270
10444,Racibórz,ul. Henryka Jordana,6,47-400
10445,Racibórz,ul. Juliana Tuwima,1,47-400
10446,Racibórz,ul. Sudecka,2,47-400
10447,Inowrocław,ul. Poznańska,345,88-100
10448,Inowrocław,ul. 3 Maja,11,88-100
10449,Oświęcim,ul. gen. Józefa Bema,8,32-602
10450,Łódź,al. ks. kard. Stefana Wyszyńskiego,41,94-047
10451,Solca Wielka,,58,95-035
10452,Cieciułów,,19,46-325
10453,Kostowiec,ul. Matki Florentyny Dymman,9,05-831
10454,Nowy Sącz,ul. Grodzka,34,33-300
10455,Nowy Sącz,ul. Grodzka,34,33-300
10456,Nowy Tomyśl,ul. Emilii Sczanieckiej,1,64-300
10457,Nowy Sącz,ul. Grodzka,34,33-300
10458,Giebło,ul. Edukacyjna,6,42-440
10459,Żary,ul. Górnośląska,2,68-200
10460,Łódź,ul. Grażyny,34,93-309
10461,Bydgoszcz,ul. Izerska,7,85-689
10462,Trzcinica,,72,38-207
10463,Nowy Targ,ul. Jana Pawła II,85A,34-400
10464,Mirowszczyzna,,43,46-325
10465,Katowice,ul. Modelarska,10,40-142
10466,Maciejowa,,83,33-336
10467,Spytkowice,ul. Wiślana,53,34-116
10468,Bydgoszcz,ul. Huculska,8,85-087
10469,Chotyłów,ul. Zaleska,2,21-530
10470,Piszczac,ul. Spółdzielcza,15,21-530
10471,Leśmierz,,17,95-035
10472,Wrocław,ul. Rafała Krajewskiego,1,51-690
10473,Łódź,ul. Unicka,4,93-009
10474,Leszczydół Stary,,38,07-202
10475,Radzików,,31,05-870
10476,Myszków,ul. Kwiatkowskiego,18,42-300
10477,Oświęcim,ul. gen. Józefa Bema,8,32-602
10478,Ślęzaki,,75,39-450
10479,Wola Baranowska,ul. Szkolna,4,39-451
10480,Skopanie,ul. Kardynała Wyszyńskiego,1,39-451
10481,Baranów Sandomierski,ul. Kościuszki,6,39-450
10482,Dąbrowica,,78,39-450
10483,Łódź,ul. Długosza,28a,91-083
10484,Nowy Targ,ul. Jana Pawła II,85A,34-400
10485,Dobra,ul. Szkolna,37,47-364
10486,Zakopane,ul. Gimnazjalna,1,34-500
10487,Toruń,ul. Zygmunta Krasińskiego,45/47,87-100
10488,Stojeszyn Pierwszy,,5,23-310
10489,Wierzchowiska Drugie,,165,23-310
10490,Modliborzyce,ul. Ogrodowa,2,23-310
10491,Modliborzyce,ul. Ogrodowa,2,23-310
10492,Stojeszyn Pierwszy,,5,23-310
10493,Krzywda,ul. Osiedlowa,5,21-470
10494,Oświęcim,ul. Obozowa,39,32-600
10495,Nowy Sącz,ul. Janusza Kusocińskiego,26,33-300
10496,Dąbrowa Górnicza,ul. Jaworowa,6,41-310
10497,Bydgoszcz,ul. gen. Wiktora Thommée,5,85-791
10498,Łódź,ul. Konstantego Ildefonsa Gałczyńskiego,9,93-259
10499,Zawieprzyce,,121,21-077
10500,Komorniki,ul. Szkolna,4,47-364
10501,Lucynów,ul. Szkolna,12,07-201
10502,Oświęcim,ul. Obozowa,39,32-600
10503,Stary Sącz,ul. Daszyńskiego,19,33-340
10504,Nowy Sącz,ul. Bolesława Limanowskiego,4,33-300
10505,Nowy Sącz,ul. Bolesława Limanowskiego,4,33-300
10506,Nowy Sącz,ul. Bolesława Limanowskiego,4,33-300
10507,Podzamcze,ul. Szkolna,6,42-440
10508,Lubartów,ul. 1 Maja,82,21-100
10509,Lubartów,ul. 1 Maja,82,21-100
10510,Lubartów,ul. 1 Maja,82,21-100
10511,Spytkowice,ul. Szkolna,14,34-116
10512,Milicz,ul. Trzebnicka,4,56-300
10513,Korabiewice,,50A,96-330
10514,Zamość,ul. Dolna,4,22-400
10515,Żary,ul. Zielonogórska,23,68-200
10516,Warszawa,ul. Białowieska,22,04-063
10517,Kępno,ul. Przemysłowa,10c,63-600
10518,Kwilcz,ul. Krańcowa,3A,64-420
10519,Racławiczki,ul. Szkolna,6,47-370
10520,Bydgoszcz,ul. Joachima Lelewela,15a,85-690
10521,Grybów,ul. Armii Krajowej,19,33-330
10522,Stalowa Wola,ul. Energetyków,18,37-450
10523,Milicz,ul. 11 Listopada,5,56-300
10524,Spiczyn,,8,21-077
10525,Łódź,ul. Demokratyczna,61,93-430
10526,Wąsice,ul. Główna,16,46-250
10527,Zielina,ul. Prudnicka,8,47-370
10528,Opacie,,b/n,38-211
10529,Zaborów,ul. Szkolna,6,05-083
10530,Mordy,ul. 11 Listopada,3,08-140
10531,Bydgoszcz,ul. Komuny Paryskiej,9,85-858
10532,Milicz,ul. Armii Krajowej,2,56-300
10533,Paszkówka,ul. Wadowicka,38,34-113
10534,Sosnowice,ul. Szkolna,1,34-113
10535,Łączany,ul. Krakowska,87,34-115
10536,Tłuczań,ul. Szkolna,9,34-114
10537,Oświęcim,ul. Obozowa,39,32-600
10538,Kłodzko,ul. Michała Drzymały,1A,57-300
10539,Kościelisko,ul. Szeligówka,11,34-511
10540,Wrocław,ul. Małopolska,5,54-032
10541,Wierzbica Górna,,39A,46-255
10542,Kraków,ul. Myśliwska,64,30-718
10543,Aleksandrów Łódzki,ul. Ludwika Waryńskiego,22/26,95-070
10544,Koszyce,ul. Marii Skłodowskiej-Curie,4,32-130
10545,Mikołajki Pomorskie,ul. Szreibera,10-12,82-433
10546,Wola Rzędzińska,,435B,33-150
10547,Nysa,ul. 11 Listopada,8A,48-303
10548,Włoszczowa,os. Osiedle Jana Brożka,14,29-100
10549,Wołomin,ul. 1 Maja,70,05-200
10550,Mońki,ul. Bartosza Głowackiego,2,19-100
10551,Brzeszcze,ul. Kościuszki,1,32-620
10552,Łódź,ul. Stefana Rogozińskiego,4,93-503
10553,Bydgoszcz,ul. Gajowa,94,85-717
10554,Bydgoszcz,ul. Gajowa,94,85-717
10555,Nowy Targ,ul. Kowaniec,125,34-400
10556,Czarne,ul. Parkowa,4,77-330
10557,Połoski,,45A,21-530
10558,Nysa,ul. Grodkowska,30,48-300
10559,Ogrodzieniec,ul. Elizy Orzeszkowej,13,42-440
10560,Dalachów,,217,46-325
10561,Milicz,ul. Mikołaja Kopernika,20,56-300
10562,Wesoła,ul. Kruszyny,28,05-077
10563,Strzeleczki,ul. Dworcowa,3,47-364
10564,Komorzno,ul. Główna,31,46-264
10565,Chybie,ul. Spokojna,31,43-520
10566,Ostrowiec Świętokrzyski,ul. Jana Kilińskiego,1,27-400
10567,Ostrowiec Świętokrzyski,ul. Jana Kilińskiego,1,27-400
10568,Łódź,ul. Konstantego Ciołkowskiego,7a,93-510
10569,Skórcz,ul. gen. Józefa Hallera,7A,83-220
10570,Zielona Góra,ul. Przylep-Solidarności,61,66-015
10571,Świdnica,ul. Kazimierza Pułaskiego,19,58-100
10572,Przytok,ul. Pałacowa,1,66-003
10573,Wierzbice,ul. Lipowa,44,55-040
10574,Warszawa,ul. Władysława Umińskiego,12,03-984
10575,Łańcut,ul. Farna,10,37-100
10576,Łódź,ul. Jana Kilińskiego,228,93-124
10577,Warzyn Pierwszy,,95,28-362
10578,Nagłowice,ul. Mikołaja Reja,40,28-362
10579,Zagórów,pl. Szkolny,1,62-410
10580,Łukom,,2,62-410
10581,Ciepłowody,ul. Szkolna,2,57-211
10582,Adamów,ul. Cmentarna,6,21-412
10583,Adamów,ul. Cmentarna,6,21-412
10584,Adamów,ul. Cmentarna,6,21-412
10585,Kępno,ul. Przemysłowa,10c,63-600
10586,Chorzele,ul. Szkolna,4,06-330
10587,Bożnów,,69,68-100
10588,Miodnica,,54,68-100
10589,Bukowina Bobrzańska,,45,68-100
10590,Leszno,ul. Polna,22,05-084
10591,Kraków,ul. Myśliwska,64,30-718
10592,Łódź,ul. Legionów,126,90-764
10593,Brańszczyk,ul. Nadbużna,3,07-221
10594,Brańszczyk,ul. Nadbużna,3,07-221
10595,Poręba Średnia,,18,07-308
10596,Poręba Średnia,,7,07-308
10597,Brzeszcze,ul. Kościuszki,1,32-620
10598,Wrocław,ul. Stanisława Worcella,3,50-448
10599,Katowice,ul. Techników,11,40-326
10600,Katowice,ul. Techników,11,40-372
10601,Brzeszcze,ul. Kościuszki,1,32-620
10602,Lipsko,ul. Zwoleńska,14,27-300
10603,Łódź,ul. Tadeusza Rejtana,10,93-583
10604,Warszawa,ul. Płocka,17,01-231
10605,Długobórz,ul. Szkolna,7,18-300
10606,Holeszów,,119,22-220
10607,Firlej,ul. Choiny,7,21-136
10608,Firlej,ul. Choiny,7,21-136
10609,Firlej,ul. Choiny,7,21-136
10610,Augustów,al. Aleja Kardynała Wyszyńskiego,3,16-300
10611,Kęty,ul. Stanisława Wyspiańskiego,2,32-650
10612,Strzelce Opolskie,ul. Sosnowa,3,47-100
10613,Dęblin,ul. Tysiąclecia,27,08-530
10614,Łódź,ul. Kołowa,31,93-142
10615,Ostrowiec Świętokrzyski,ul. Jana Kilińskiego,1,27-400
10616,Srebrna,,81,18-305
10617,Międzybórz,,18,77-304
10618,Bydgoszcz,ul. Żeglarska,107,85-545
10619,Bydgoszcz,ul. Gustawa Morcinka,10,85-317
10620,Łódź,ul. Astronautów,17,93-533
10621,Łódź,ul. Wileńska,20a,94-029
10622,Wejherowo,ul. I Brygady Pancernej Wojska Polskiego,32,84-200
10623,Wejherowo,ul. Jana III Sobieskiego,217,84-200
10624,Wejherowo,os. Osiedle Kaszubskie,27,84-200
10625,Olecko,ul. Armii Krajowej,22A,19-400
10626,Wejherowo,ul. gen. Józefa Hallera,18,84-200
10627,Wejherowo,ul. Kalwaryjska,3,84-200
10628,Wejherowo,ul. Adama Asnyka,20,84-200
10629,Rumia,ul. Bolesława Krzywoustego,14,84-230
10630,Tarłów,ul. Rynek,42,27-515
10631,Białystok,ul. Transportowa,2,15-399
10632,Łódź,ul. Wincentego Kadłubka,38,93-248
10633,Warszawa,ul. Sarabandy,16/22,02-868
10634,Baczyna,ul. Szkolna,1,66-432
10635,Nysa,ul. Armii Krajowej,9,48-300
10636,Konina,,211,34-735
10637,Zielona Góra,ul. Drzonków-Olimpijska,20,66-004
10638,Łódź,ul. Gabrieli Zapolskiej,54,93-256
10639,Warszawa,ul. Taneczna,54/58,02-829
10640,Trzebień,ul. Leśna,9,59-700
10641,Lisowice,ul. Mickiewicza,22,42-700
10642,Ściechów,,84,66-433
10643,Warszawa,ul. Koncertowa,8,02-787
10644,Trzebień,ul. Leśna,9,59-700
10645,Warszawa,ul. Stefana Szolc-Rogozińskiego,2,02-777
10646,Łódź,ul. Wapienna,21a,91-087
10647,Łódź,ul. Nizinna,26A,93-479
10648,Pawonków,ul. Lubliniecka,18,42-772
10649,Pobiedziska,ul. Różana,4,62-010
10650,Biskupice,ul. Szkolna,2,62-007
10651,Pobiedziska,ul. Gajowa,22,62-010
10652,Pobiedziska,ul. Tysiąclecia,2,62-010
10653,Bugaj,ul. Sosnowa,6,62-007
10654,Ełk,ul. Armii Krajowej,21,19-300
10655,Dąbrowa Górnicza,ul. Aleja Józefa Piłsudskiego,36,41-303
10656,Kraków,ul. Tyniecka,122,30-376
10657,Kraków,al. Aleja Powstania Warszawskiego,6,31-541
10658,Kraków,os. Osiedle Zgody,13a,31-950
10659,Tworków,ul. Zamkowa,13,47-451
10660,Bieńkowice,ul. Szkolna,1,47-451
10661,Owsiszcze,ul. Szkolna,1,47-450
10662,Owsiszcze,ul. Szkolna,1,47-450
10663,Kępno,ul. Sienkiewicza,21,63-600
10664,Chełm,pl. pl. Doktora Edwarda Łuczkowskiego,15,22-100
10665,Żywiec,ul. Sienkiewicza,65,34-300
10666,Żywiec,ul. Sienkiewicza,65,34-300
10667,Tworóg,ul. Słowackiego,16,42-690
10668,Korlino,,4A,76-113
10669,Tworóg,ul. Szkolna,15,42-690
10670,Tarnów,ul. Ignacego Mościckiego,27,33-100
10671,Tarnów,ul. Okrężna,4a,33-100
10672,Tarnów,ul. Gumniska,47,33-100
10673,Tarnów,ul. Jana Matejki,6,33-100
10674,Opatów,ul. Juliusza Słowackiego,56,27-500
10675,Limanowa,ul. Stanisława Jordana,5,34-600
10676,Limanowa,ul. Józefa Piłsudskiego,111,34-600
10677,Rzeczenica,ul. Człuchowska,22,77-304
10678,Tursko,,10,63-322
10679,Piaseczno,ul. Chyliczkowska,20,05-500
10680,Kęty,ul. Tadeusza Kościuszki,29,32-650
10681,Tursko,,10,63-322
10682,Rybnik,ul. Tadeusza Kościuszki,5,44-200
10683,Sochaczew,ul. Dewajtis,25,96-500
10684,Staniewice,,61,76-113
10685,Białogard,ul. Mickiewicza,24,78-200
10686,Gościęcin,ul. Szkolna,22,47-270
10687,Stradunia,ul. Powstańców Śląskich,40,47-341
10688,Sochaczew,ul. Stanisława Staszica,39,96-500
10689,Wrocław,ul. ks. Marcina Lutra,2-8,54-239
10690,Warszawa,ul. Księcia Janusza,45/47,01-452
10691,Jawor,ul. Wrocławska,30a,59-400
10692,Jawor,ul. Wrocławska,30a,59-400
10693,Jawor,ul. Wrocławska,30a,59-400
10694,Sochaczew,ul. Stadionowa,4,96-500
10695,Kęty,ul. Tadeusza Kościuszki,29,32-650
10696,Poznań,ul. Bastionowa,47,61-663
10697,Terespol,ul. Henryka Sienkiewicza,27,21-550
10698,Terespol,ul. Henryka Sienkiewicza,27,21-550
10699,Lisów,,155A,21-100
10700,Dąbrowa Górnicza,ul. Łęknice,35,41-303
10701,Kęty,ul. Tadeusza Kościuszki,29,32-650
10702,Krasne,,742,36-007
10703,Malawa,,199A,36-007
10704,Strażów,,270A,36-073
10705,Krasne,,741,36-007
10706,Malawa,,199B,36-007
10707,Palikówka,,201,36-073
10708,Strażów,,270,36-073
10709,Szczecin,ul. Jodłowa,21,71-114
10710,Wrocław,ul. Zemska,16c,54-438
10711,Borkowice,ul. Słoneczna,3,26-422
10712,Wrocław,ul. Eugeniusza Horbaczewskiego,61,54-130
10713,Baranowo,,29,11-730
10714,Głogów,ul. Aleja Wolności,74,67-200
10715,Głogów,pl. Plac Mieszka I,22,67-200
10716,Głogów,ul. Tadeusza Kościuszki,18,67-200
10717,Głogów,ul. Ignacego Daszyńskiego,11,67-200
10718,Głogów,ul. Andromedy,62,67-200
10719,Głogów,ul. Mikołaja Gomółki,43,67-200
10720,Głogów,ul. Akacjowa,10,67-200
10721,Głogów,ul. Królewska,12,67-200
10722,Lipsk,ul. Szkolna,1,16-315
10723,Białogard,ul. Mickiewicza,24,78-200
10724,Wrocław,ul. Inflancka,13,51-354
10725,Warszawa,ul. Strumykowa,23A,03-138
10726,Wrocław,ul. Sołtysowicka,34,51-168
10727,Poznań,ul. Ziębicka,18,60-164
10728,Wrocław,ul. Nowowiejska,80,50-315
10729,Białogard,ul. Mickiewicza,24,78-200
10730,Łódź,ul. Lucjana Rydla,17,93-203
10731,Poznań,ul. Aleksandra Fredry,1,61-701
10732,Łódź,ul. Będzińska,3,93-540
10733,Ryczów,ul. Szkolna,18,34-115
10734,Dołhobrody,,58,22-220
10735,Konieczno,,80,29-100
10736,Łódź,ul. Cieszyńska,16,93-554
10737,Rzeczenica,ul. Przechlewska,6,77-304
10738,Elbląg,ul. Józefa Wybickiego,20,82-300
10739,Łódź,ul. Władysława Broniewskiego,101,93-253
10740,Wrocław,ul. Fabryczna,14,53-609
10741,Grybów,ul. Leszczynowa,1,33-330
10742,Milanówek,ul. Piasta,14,05-822
10743,Nadarzyn,ul. Wiśniowa,26,05-830
10744,Sokolniki,ul. Szkolna,1,98-420
10745,Smętowo Graniczne,ul. Brzozowa,3,83-230
10746,Nagłowice,ul. Mikołaja Reja,40,28-362
10747,Łódź,ul. Tatrzańska,100,93-208
10748,Błonie,ul. Okrzei,3,05-870
10749,Smarchowice Wielkie,ul. Brzegowa,58,46-100
